"2020년 09월 08일 13시","○","서울","강남구","강남구보건소","서울 강남구 삼성동(삼성2동) 8 강남구보건소","09:00 ~ 20:00","09:00 ~ 19:00","09:00 ~ 19:00","02-3423-5555",37.5163,127.042
"2020년 09월 08일 13시","○","서울","강남구","삼성서울병원","서울특별시 강남구 일원동 일원로 81 삼성서울병원","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","02-3410-0543",37.4882,127.086
"2020년 09월 08일 13시","○","서울","강남구","강남세브란스병원","서울 강남구 언주로211 강남세브란스병원","09:00 ~ 17:00","09:00 ~ 12:30","미운영","02-1599-6114",37.4927,127.046
"2020년 09월 08일 13시","○","서울","강동구","강동구보건소","서울 강동구 성내동 541-2","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-3425-6713",37.5294,127.126
"2020년 09월 08일 13시","○","서울","강동구","중앙보훈병원","서울 강동구 진황도로 61길 53","09:00 ~ 17:30","미운영","미운영","02-2225-1114",37.5288,127.148
"2020년 09월 08일 13시","○","서울","강동구","강동경희대병원","서울시 강동구 동남로 892","09:00 ~ 17:00","09:00 ~ 12:00","미운영","02-440-7000",37.5528,127.157
"2020년 09월 08일 13시","○","서울","강동구","강동성심병원","서울시 강동구 성안로 150","08:30 ~ 16:30","08:30 ~ 11:30","미운영","1588-4100",37.5361,127.135
"2020년 09월 08일 13시","○","서울","강북구","강북구보건소","서울 강북구 번제2동 232 강북보건소 ","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-901-7704(7706)",37.6321,127.039
"2020년 09월 08일 13시","○","서울","강서구","강서구보건소","서울 강서구 염창동 275-12 강서보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2600-5465",37.5496,126.868
"2020년 09월 08일 13시","○","서울","강서구","이화여자대학교 서울병원","서울 강서구 공항대로 260","09:30 ~ 12:00","미운영","미운영","1522-7000",37.5533,126.851
"2020년 09월 08일 13시","○","서울","관악구","관악구보건소","서울 관악구 청룡동 1570-1","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 13:00","02-879-7131",37.4783,126.951
"2020년 09월 08일 13시","○","서울","관악구","에이치플러스양지병원","서울특별시 관악구 남부순환로 1636","08:30 ~ 17:00","08:30 ~ 12:30","미운영","1877-8875",37.4842,126.933
"2020년 09월 08일 13시","○","서울","광진구","광진구보건소","서울특별시 광진구 자양로 117 (자양동)","09:00 ~ 19:00","09:00 ~ 18:00","09:00 ~ 18:00","02-450-1937",37.5384,127.082
"2020년 09월 08일 13시","X","서울","광진구","자양보건지소","서울특별시 광진구 아차산로24길 17","09:00 ~ 18:00","미운영","미운영","02-450-7090",37.5402,127.065
"2020년 09월 08일 13시","○","서울","광진구","건국대학교병원","서울특별시 광진구 능동로 120-1","09:00 ~ 18:00","09:00 ~ 12:30","미운영","02-1588-1533",37.5408,127.072
"2020년 09월 08일 13시","○","서울","구로구","구로구보건소","서울 구로구 구로동(구로제5동) 109-4 구로5동 주민센터_구로구보건소","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-860-2012",37.5,126.889
"2020년 09월 08일 13시","○","서울","구로구","고대구로병원","구로동로 148","09:00 ~ 17:30","미운영","미운영","02-2626-1554",37.4922,126.885
"2020년 09월 08일 13시","○","서울","구로구","구로성심병원","경인로 427","09:00 ~ 17:30","09:00 ~ 12:30","미운영","02-2067-1500",37.4583,126.688
"2020년 09월 08일 13시","○","서울","금천구","금천구보건소","서울 금천구 시흥제1동 1020 금천구보건소","09:00 ~ 18:00","09:00 ~ 16:00","09:00 ~ 16:00","02-2627-2717",37.457,126.896
"2020년 09월 08일 13시","○","서울","금천구","희명병원","서울특별시 금천구 시흥대로 244","00:00 ~ 24:00","00:00 ~ 24:00","00:00 ~ 24:00","02-2219-7231",37.4556,126.901
"2020년 09월 08일 13시","○","서울","노원구","노원구보건소","서울 노원구 상계6.7동 노원구보건소_701-1","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2116-3000",37.6546,127.057
"2020년 09월 08일 13시","○","서울","노원구","노원을지대학교병원","서울 노원구 한글비석로 68","00:00 ~ 24:00","미운영","미운영","02-970-8000",37.6363,127.07
"2020년 09월 08일 13시","○","서울","노원구","상계백병원","서울 노원구 동일로 1342","00:00 ~ 24:00","00:00 ~ 24:00","미운영","02-950-1114",37.6486,127.063
"2020년 09월 08일 13시","○","서울","도봉구","도봉구보건소","서울 도봉구 쌍문동 565","09:00 ~ 18:00","09:00 ~ 18:00","09:00 ~ 18:00","02-2091-4436",37.658,127.039
"2020년 09월 08일 13시","○","서울","동대문구","동대문구보건소","서울 동대문구 용두동 39-9","09:00 ~ 18:00","09:00 ~ 15:00","09:00 ~ 15:00","02-2127-4283",37.5742,127.04
"2020년 09월 08일 13시","○","서울","동대문구","삼육서울병원","서울 동대문구 망우로 82","09:00 ~ 16:30","미운영","09:00 ~ 16:30","1577-3675",37.5893,127.065
"2020년 09월 08일 13시","○","서울","동대문구","서울특별시동부병원","서울 동대문구 무학로 124","09:00 ~ 22:00","09:00 ~ 18:00","09:00 ~ 18:00","920-9435(9119)",37.5753,127.032
"2020년 09월 08일 13시","○","서울","동대문구","서울성심병원","서울 동대문구 왕산로 259","09:00 ~ 16:00","미운영","미운영","966-1616",37.5844,127.05
